count,field,raw_value,normalized_value,status,current_standardized_value
894,Isolation Source,Groin,groin,standardized,groin
894,Host Disease,Cystic Fibrosis,cystic fibrosis,standardized,cystic fibrosis
894,Host Disease,otitis media,otitis media,standardized,otitis media
893,Isolation Source,Marmota himalayana,marmota himalayana,standardized,Marmota himalayana
892,Host Disease,Obesity,obesity,standardized,obesity
889,Isolation Source,pork,pork,standardized,pork/meat product
884,Sample Type,Cell Culture,cell culture,standardized,cell culture
882,Isolation Source,Canal,canal,standardized,canal
881,Isolation Source,Bacterial culture,bacterial culture,standardized,bacterial culture
879,Isolation Source,bacterial culture,bacterial culture,standardized,bacterial culture
878,Environment (Broad Scale),ENVO:00002043,envo 00002043,standardized,wastewater/sewage
876,Sample Type,whole organism,whole organism,standardized,soil
875,Host Disease,Neoplasms,neoplasms,standardized,neoplasm/cancer
874,Isolation Source,saliva,saliva,standardized,clinical/host-associated material
873,Environment Medium,cheese_rind [FOODON:00003842],cheese rind foodon 00003842,standardized,dairy food
869,Isolation Source,Chicken caeca,chicken caeca,unmapped,
867,Isolation Source,citrus leaf,citrus leaf,standardized,Citrus leaf
864,Environment Medium,stream,stream,standardized,environmental material
861,Environment Medium,lake water,lake water,standardized,lake water
856,Isolation Source,Urethral,urethral,standardized,clinical/host-associated material
840,Isolation Source,blood from patients of rural regional hospital,blood from patients of rural regional hospital,standardized,blood
835,Isolation Source,Activated sludge of municipal wastewater treatment plants,activated sludge of municipal wastewater treatment plants,standardized,sewage
833,Environment (Local Scale),UBERON:0004983,uberon 0004983,unmapped,
830,Isolation Source,Homo sapiens,homo sapiens,unmapped,
830,Isolation Source,ectocervical mucosa,ectocervical mucosa,standardized,clinical/host-associated material
823,Host Disease,Clostridim difficile infection,clostridim difficile infection,standardized,Clostridioides difficile infection
818,Isolation Source,Chicken Breasts,chicken breasts,unmapped,
818,Isolation Source,ICU Environment,icu environment,standardized,healthcare facility
817,Isolation Source,maternal stool,maternal stool,standardized,feces/stool
816,Isolation Source,Coastal bare tidal sandflat sediment,coastal bare tidal sandflat sediment,standardized,sediment
816,Sample Type,metagenome assembly,metagenome assembly,standardized,metagenomic assembly
813,Host Disease,C. difficle,c. difficle,standardized,Clostridioides difficile infection
811,Isolation Source,faecal,fecal,standardized,feces/stool
807,Isolation Source,human gut metagenome,human gut metagenome,standardized,metagenome
806,Environment (Broad Scale),ENVO:00001998,envo 00001998,standardized,terrestrial environment
804,Environment Medium,water [ENVO:00002006],water envo 00002006,standardized,water
800,Isolation Source,Wound swab,wound swab,standardized,wound
798,Isolation Source,Abscess,abscess,standardized,abscess
795,Isolation Source,drainage,drainage,standardized,drainage
793,Environment (Local Scale),maternal gut microbiome,maternal gut microbiome,standardized,gut/fecal local context
792,Isolation Source,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork",product raw ground comminuted or otherwise nonintact pork,standardized,pork/meat product
790,Isolation Source,Patient or hospital wastewater site,patient or hospital wastewater site,standardized,hospital wastewater
790,Environment Medium,biological product [ENVO:02000043],biological product envo 02000043,standardized,biological product
786,Environment (Broad Scale),freshwater lake [ENVO:00000021],freshwater lake envo 00000021,standardized,freshwater environment
782,Environment (Local Scale),ENVO:01000687,envo 01000687,unmapped,
782,Environment (Local Scale),pelagic epilimnion,pelagic epilimnion,standardized,lake
780,Isolation Source,bodily fluid,bodily fluid,standardized,body fluid
779,Isolation Source,urogenital,urogenital,standardized,clinical/host-associated material
773,Isolation Source,dam water,dam water,standardized,environmental water
769,Isolation Source,wound swab,wound swab,standardized,wound
764,Isolation Source,rhizosphere soil,rhizosphere soil,standardized,plant-associated material
764,Environment (Broad Scale),Human gut microbiome,human gut microbiome,standardized,host-associated gut/oral/fecal environment
759,Environment (Local Scale),Lake [ENVO:00000020],lake envo 00000020,standardized,lake
755,Environment (Broad Scale),hydrothermal vent metagenome,hydrothermal vent metagenome,standardized,geologic/extreme environment
752,Host Disease,C. difficile infection,c. difficile infection,standardized,Clostridioides difficile infection
751,Sample Type,whole organism,whole organism,standardized,urine
747,Isolation Source,Pure culture,pure culture,standardized,pure culture
745,Environment Medium,leachate [ENVO:00002141],leachate envo 00002141,standardized,leachate
744,Isolation Source,rectum swab,rectum swab,standardized,clinical/host-associated material
742,Isolation Source,stream sediment,stream sediment,standardized,stream
739,Isolation Source,RECTAL SWAB,rectal swab,standardized,clinical/host-associated material
738,Isolation Source,screening,screening,standardized,metadata descriptor/non-source
738,Isolation Site,Root,root,standardized,root
734,Isolation Source,hospital sewage,hospital sewage,standardized,hospital sewage
728,Environment (Broad Scale),terrestrial biome,terrestrial biome,standardized,terrestrial environment
727,Environment (Local Scale),landfill [ENVO:00000533],landfill envo 00000533,unmapped,
716,Isolation Source,skin and soft tissue infection,skin and soft tissue infection,standardized,clinical/host-associated material
715,Isolation Source,Chicken Legs,chicken legs,unmapped,
710,Isolation Source,rectum,rectum,standardized,clinical/host-associated material
710,Isolation Source,Pure cell culture,pure cell culture,standardized,cell culture
708,Isolation Site,Lung,lung,standardized,lower respiratory tract/bronch/pleural cavity
706,Isolation Source,Biopsy,biopsy,standardized,biopsy
706,Isolation Source,Stools,stools,standardized,feces/stool
706,Environment (Broad Scale),marine biome [ENVO:00000447],marine biome envo 00000447,standardized,marine environment
702,Environment Medium,seawater,seawater,standardized,seawater
701,Isolation Source,environmental: non-food-contact surface,environmental non food contact surface,standardized,environmental material
699,Isolation Source,Retail chicken,retail chicken,unmapped,
697,Isolation Source,surveillance swabs,surveillance swabs,standardized,metadata descriptor/non-source
697,Isolation Source,stool swab,stool swab,standardized,fecal/stool swab
696,Isolation Source,Chicken Liver,chicken liver,standardized,clinical/host-associated material
694,Host Disease,bacteremia,bacteremia,standardized,sepsis/bacteremia
692,Isolation Source,fish,fish,unmapped,
691,Environment (Local Scale),human-associated habitat [ENVO:00009003],human associated habitat envo 00009003,standardized,gut/fecal local context
690,Environment (Local Scale),Chinese giant salamander gut,chinese giant salamander gut,standardized,gut/fecal local context
689,Environment Medium,Seawater,seawater,standardized,seawater
686,Isolation Source,food processing environment,food processing environment,standardized,food/food product
684,Isolation Source,Skin and toft tissue infection,skin and toft tissue infection,standardized,clinical/host-associated material
679,Isolation Source,human-associated habitat,human associated habitat,unmapped,
677,Environment Medium,stream sediment,stream sediment,standardized,sediment
672,Isolation Source,healthy people,healthy people,unmapped,
670,Isolation Source,bodily fluid material biome [ENVO:02000019],bodily fluid material biome envo 02000019,standardized,body fluid
663,Environment (Broad Scale),groundwater,groundwater,unmapped,
662,Isolation Source,dairy calf feces,dairy calf feces,standardized,feces/stool
662,Isolation Source,Nasophaynx,nasophaynx,standardized,nasopharynx/oropharynx
661,Isolation Source,sewage,sewage,standardized,sewage
658,Isolation Source,sea water,seawater,standardized,seawater
657,Isolation Source,Food products,food products,standardized,seafood/aquatic food product
652,Isolation Source,clinical specimen,clinical specimen,standardized,clinical sample
646,Isolation Source,Pig farm,pig farm,standardized,farm
639,Isolation Source,venous blood,venous blood,standardized,blood
634,Isolation Source,caecum,caecum,standardized,clinical/host-associated material
633,Environment Medium,ENVO:01001785,envo 01001785,standardized,soil
630,Isolation Source,Penis/Urethra,penis urethra,standardized,clinical/host-associated material
629,Isolation Source,aspirate,aspirate,standardized,aspirate
628,Environment (Broad Scale),urban biome,urban biome,standardized,built/urban environment
626,Isolation Source,farm environment,farm environment,standardized,farm
625,Sample Type,soil,soil,standardized,soil
624,Host Disease,Buruli ulcer,buruli ulcer,standardized,Buruli ulcer
617,Environment (Local Scale),anaerobic bioreactor [ENVO:00002124],anaerobic bioreactor envo 00002124,unmapped,
617,Environment (Local Scale),Forest,forest,unmapped,
616,Isolation Source,manure,manure,standardized,manure
616,Isolation Source,human skin,human skin,standardized,clinical/host-associated material
616,Environment Medium,biological waste material [ENVO:01000373],biological waste material envo 01000373,standardized,biological waste material
615,Environment (Local Scale),Wetland,wetland,standardized,wetland
611,Isolation Source,poultry cecal sample,poultry cecal sample,standardized,clinical/host-associated material
609,Sample Type,stool,stool,standardized,feces/stool
607,Host Health State,healthy,healthy,standardized,healthy
607,Environment Medium,Wetland,wetland,standardized,soil
606,Environment (Broad Scale),landfill [ENVO:00000533],landfill envo 00000533,unmapped,
603,Environment Medium,Forest,forest,standardized,soil
603,Environment (Local Scale),sea ice,sea ice,unmapped,
603,Environment (Local Scale),Alberta groundwater,alberta groundwater,standardized,groundwater
