synonym,canonical,taxid,confidence,note
Olea europaea,Olea europaea,4146,high,NCBI Taxonomy name2taxid reviewed import
Bombyx mori,Bombyx mori,7091,high,NCBI Taxonomy name2taxid reviewed import
Raphanus sativus,Raphanus sativus,3726,high,NCBI Taxonomy name2taxid reviewed import
Larus sp.,Larus sp.,3435965,high,NCBI Taxonomy name2taxid reviewed import
Quercus agrifolia,Quercus agrifolia,97693,high,NCBI Taxonomy name2taxid reviewed import
Rhopaloeides odorabile,Rhopaloeides odorabile,476028,high,NCBI Taxonomy name2taxid reviewed import
Carassius auratus,Carassius auratus,7957,high,NCBI Taxonomy name2taxid reviewed import
Hordeum vulgare,Hordeum vulgare,4513,high,NCBI Taxonomy name2taxid reviewed import
Corylus avellana,Corylus avellana,13451,high,NCBI Taxonomy name2taxid reviewed import
Cavia porcellus,Cavia porcellus,10141,high,NCBI Taxonomy name2taxid reviewed import
Guinea fowl,Guinea fowl,8990,high,NCBI Taxonomy name2taxid reviewed import
Corvus frugilegus,Corvus frugilegus,75140,high,NCBI Taxonomy name2taxid reviewed import
Leptonychotes weddellii,Leptonychotes weddellii,9713,high,NCBI Taxonomy name2taxid reviewed import
Anadara tuberculosa,Anadara tuberculosa,173065,high,NCBI Taxonomy name2taxid reviewed import
Anolis marmoratus,Anolis marmoratus,41898,high,NCBI Taxonomy name2taxid reviewed import
Erysimum sp.,Erysimum sp.,3462396,high,NCBI Taxonomy name2taxid reviewed import
Bombus terrestris,Bombus terrestris,30195,high,NCBI Taxonomy name2taxid reviewed import
Ambystoma altamirani,Ambystoma altamirani,354123,high,NCBI Taxonomy name2taxid reviewed import
Solanum virginianum,Solanum virginianum,223891,high,NCBI Taxonomy name2taxid reviewed import
Meles meles,Meles meles,9662,high,NCBI Taxonomy name2taxid reviewed import
Rubus idaeus,Rubus idaeus,32247,high,NCBI Taxonomy name2taxid reviewed import
Anoplopoma fimbria,Anoplopoma fimbria,229290,high,NCBI Taxonomy name2taxid reviewed import
Larus delawarensis,Larus delawarensis,126683,high,NCBI Taxonomy name2taxid reviewed import
Tursiops truncatus,Tursiops truncatus,9739,high,NCBI Taxonomy name2taxid reviewed import
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,10149,high,NCBI Taxonomy name2taxid reviewed import
Vicia faba,Vicia faba,3906,high,NCBI Taxonomy name2taxid reviewed import
Eopycna repanda,Eopycna repanda,2961907,high,NCBI Taxonomy name2taxid reviewed import
Cucumis sativus,Cucumis sativus,3659,high,NCBI Taxonomy name2taxid reviewed import
Rattus rattus,Rattus rattus,10117,high,NCBI Taxonomy name2taxid reviewed import
Musa sp.,Musa sp.,46838,high,NCBI Taxonomy name2taxid reviewed import
Cygnus olor,Cygnus olor,8869,high,NCBI Taxonomy name2taxid reviewed import
Isopora palifera,Isopora palifera,105615,high,NCBI Taxonomy name2taxid reviewed import
Bos indicus,Bos indicus,9915,high,NCBI Taxonomy name2taxid reviewed import
Mytilus sp.,Mytilus sp.,61855,high,NCBI Taxonomy name2taxid reviewed import
Passer domesticus,Passer domesticus,48849,high,NCBI Taxonomy name2taxid reviewed import
Galaxea fascicularis,Galaxea fascicularis,46745,high,NCBI Taxonomy name2taxid reviewed import
Plateau pika,Plateau pika,130825,high,NCBI Taxonomy name2taxid reviewed import
Anasa tristis,Anasa tristis,236421,high,NCBI Taxonomy name2taxid reviewed import
Paralichthys olivaceus,Paralichthys olivaceus,8255,high,NCBI Taxonomy name2taxid reviewed import
Ecteinascidia turbinata,Ecteinascidia turbinata,284476,high,NCBI Taxonomy name2taxid reviewed import
Eopycna coelestia,Eopycna coelestia,2961901,high,NCBI Taxonomy name2taxid reviewed import
Lepus sp.,Lepus sp.,137772,high,NCBI Taxonomy name2taxid reviewed import
Columbina passerina,Columbina passerina,111974,high,NCBI Taxonomy name2taxid reviewed import
Spongilla sp.,Spongilla sp.,56705,high,NCBI Taxonomy name2taxid reviewed import
Urocitellus parryii,Urocitellus parryii,9999,high,NCBI Taxonomy name2taxid reviewed import
Sarracenia purpurea,Sarracenia purpurea,45176,high,NCBI Taxonomy name2taxid reviewed import
Spinacia oleracea,Spinacia oleracea,3562,high,NCBI Taxonomy name2taxid reviewed import
Leucophaeus pipixcan,Leucophaeus pipixcan,690715,high,NCBI Taxonomy name2taxid reviewed import
Fragaria x ananassa,Fragaria x ananassa,3747,high,NCBI Taxonomy name2taxid reviewed import
Quercus robur,Quercus robur,38942,high,NCBI Taxonomy name2taxid reviewed import
Pelecanus thagus,Pelecanus thagus,1108811,high,NCBI Taxonomy name2taxid reviewed import
Hyalomma asiaticum,Hyalomma asiaticum,266040,high,NCBI Taxonomy name2taxid reviewed import
Larimichthys crocea,Larimichthys crocea,215358,high,NCBI Taxonomy name2taxid reviewed import
Mirounga leonina,Mirounga leonina,9715,high,NCBI Taxonomy name2taxid reviewed import
Quercus rubra,Quercus rubra,3512,high,NCBI Taxonomy name2taxid reviewed import
Lupinus angustifolius,Lupinus angustifolius,3871,high,NCBI Taxonomy name2taxid reviewed import
Zalophus californianus,Zalophus californianus,9704,high,NCBI Taxonomy name2taxid reviewed import
Achatina achatina,Achatina achatina,1442373,high,NCBI Taxonomy name2taxid reviewed import
Hedera helix,Hedera helix,4052,high,NCBI Taxonomy name2taxid reviewed import
Chroicocephalus ridibundus,Chroicocephalus ridibundus,1192867,high,NCBI Taxonomy name2taxid reviewed import
Astragalus pelecinus,Astragalus pelecinus,47093,high,NCBI Taxonomy name2taxid reviewed import
Tscherskia triton,Tscherskia triton,329627,high,NCBI Taxonomy name2taxid reviewed import
Aedes aegypti,Aedes aegypti,7159,high,NCBI Taxonomy name2taxid reviewed import
