isolation_source_sd,assembly_count,recommended_action
bullet and ascociated tissue (Canis lupus familiaris),1,route_to_sample_type
callus tissue,1,route_to_sample_type
cancer tissue of gastric cancer patients,1,route_to_disease_or_health_state
chukar partridge game bird multiple tissue,1,route_to_sample_type
coral tissue fragment,1,route_to_sample_type
crown gall tumor tissue,1,route_to_sample_type
dahi (fermented milk),1,route_to_sample_type
devitalized tissue,1,route_to_sample_type
discolored tissue in living oak tree,1,route_to_sample_type
dog tissue,1,route_to_sample_type
eel tissue,1,route_to_sample_type
elbow debris tissue,1,route_to_sample_type
endocervical tissue,1,route_to_sample_type
endotrach lavage,1,route_to_sample_type
faeces 9.10,1,route_to_sample_type
faeces 9.11,1,route_to_sample_type
faeces 9.12,1,route_to_sample_type
faeces 9.13,1,route_to_sample_type
faeces 9.14,1,route_to_sample_type
faeces 9.15,1,route_to_sample_type
faeces 9.16,1,route_to_sample_type
faeces 9.17,1,route_to_sample_type
faeces 9.7,1,route_to_sample_type
faeces 9.8,1,route_to_sample_type
faeces 9.9,1,route_to_sample_type
faeces of Antarctic penguins,1,route_to_sample_type
faeces of a thoroughbred horse,1,route_to_sample_type
faeces of the Tibetan antelope,1,route_to_sample_type
"faeces,Qinghai,China",1,route_to_sample_type
finished product tissue,1,route_to_sample_type
forelimb amputation tissue,1,route_to_sample_type
foreskin tissue,1,route_to_sample_type
gall tissue,1,route_to_sample_type
gangrenous tissue,1,route_to_sample_type
gastric mucosa tissue,1,route_to_sample_type
gingival tissue,1,route_to_sample_type
granulation tissue,1,route_to_sample_type
granulomatous lesions in splenic tissue from a striped bass,1,route_to_sample_type
head tissue,1,route_to_sample_type
hepatocellular carcinoma tissue,1,route_to_sample_type
hip tissue,1,route_to_sample_type
host trophosiom tissue,1,route_to_sample_type
incision tissue,1,route_to_sample_type
infant faeces,1,route_to_sample_type
insect tissue,1,route_to_sample_type
internal tissue,1,route_to_sample_type
kelp tissue,1,route_to_sample_type
lamb faeces,1,route_to_sample_type
larva tissue,1,route_to_sample_type
