raw_isolation_source,assembly_count
food consumed by patient with food poisoning,3
fresh chicken,3
human fecal,3
human hand,3
human induced pluripotent stem cells,3
human isolate,3
human patient,3
human prostate cancer V-CaP cell line,3
human vaginal discharge,3
intestine cattle,3
lung turkey,3
milking cow barn,3
patient blood culture,3
"patient, endotracheal suctioning",3
"patient, stool",3
pet food poultry blend,3
pig ceacal sample,3
pig lungs,3
pig slaughterhouse chilling room floor,3
