assembly_accession	biosample	organism	migrated_entries
GCA_056386415.1	SAMN54874740	Pasteurella multocida	2
GCA_022523865.1	SAMN25989433	Klebsiella pneumoniae	3
GCA_024437765.1	SAMN29759741	Riemerella anatipestifer	2
GCA_025544135.1	SAMN18871208	Agathobaculum butyriciproducens	2
GCA_029223725.1	SAMN33561325	Streptococcus parauberis	2
GCA_031711775.1	SAMN36398615	Pasteurella multocida	2
GCA_031712015.1	SAMN36398621	Pasteurella multocida	2
GCA_033330645.1	SAMN33700724	Mannheimia haemolytica	2
GCA_033331625.1	SAMN33700675	Mannheimia haemolytica	2
GCA_033333555.1	SAMN33700577	Mannheimia haemolytica	2
GCA_033770455.1	SAMN34474301	Salmonella enterica	2
GCA_034903025.1	SAMN14437079	Streptococcus pyogenes	3
GCA_034903185.1	SAMN14437087	Streptococcus pyogenes	3
GCA_034903265.1	SAMN14437119	Streptococcus pyogenes	3
GCA_034903505.1	SAMN14436484	Streptococcus pyogenes	3
GCA_034904005.1	SAMN14436779	Streptococcus pyogenes	3
GCA_034904985.1	SAMN14436741	Streptococcus pyogenes	3
GCA_034917725.1	SAMN14436418	Streptococcus pyogenes	3
GCA_036366425.1	SAMN38380780	Streptococcus pneumoniae	3
GCA_036367145.1	SAMN38380744	Streptococcus pneumoniae	3
GCA_048161175.1	SAMN47117349	Neisseria meningitidis	3
GCA_050980765.1	SAMN44590238	Bordetella pertussis	2
GCA_051303345.1	SAMN49722030	Klebsiella pneumoniae	3
GCA_051347305.1	SAMN49901620	Clostridium perfringens	3
GCA_001676445.1	SAMN05190066	Stenotrophomonas maltophilia	2
GCA_002443115.1	SAMN07665299	Dermabacter jinjuensis	3
GCA_052259005.1	SAMN50623211	Psychrobacter sp. 1Y10	2
GCA_052497385.1	SAMN43307144	Escherichia coli	3
GCA_052506425.1	SAMN43306262	Escherichia coli	3
GCA_052509145.1	SAMN43306366	Escherichia coli	3
GCA_052511905.1	SAMN43306624	Escherichia coli	3
GCA_056715695.1	SAMN41787776	Xanthomonas citri pv. anacardii	3
GCA_057037745.1	SAMN50509589	Candidatus Fusicatenibacter intestinipullorum	1
GCA_057045265.1	SAMN50509390	Butyricimonas sp.	1
GCA_900029385.1	SAMEA2238511	Streptococcus pneumoniae	3
GCA_900050155.1	SAMEA1033604	Streptococcus pneumoniae	3
GCA_901276765.1	SAMEA3176156	Streptococcus pneumoniae	3
GCA_901295975.1	SAMEA3389804	Streptococcus pneumoniae	3
GCA_901310785.1	SAMEA3431299	Streptococcus pneumoniae	3
GCA_901311185.1	SAMEA3431311	Streptococcus pneumoniae	3
GCA_901335655.1	SAMEA3389243	Streptococcus pneumoniae	3
GCA_903970885.1	SAMEA7026336	Bacillus sp. ME75	2
GCA_903978235.1	SAMEA6962648	Xanthomonas hortorum pv. cynarae	2
GCA_012411505.1	SAMN12662501	Escherichia coli	2
GCA_026158285.1	SAMN30260645	Streptococcus mitis	2
GCA_026160135.1	SAMN30260584	Streptococcus mitis	2
GCA_030290395.1	SAMN32360838	Staphylococcus aureus	3
GCA_030290975.1	SAMN32360800	Staphylococcus aureus	3
GCA_036181825.1	SAMN14440711	Streptococcus pyogenes	3
GCA_050584165.1	SAMN47557166	Staphylococcus aureus	3
GCA_052373535.1	SAMN50739245	Enterobacter asburiae	3
GCA_052496745.1	SAMN43307524	Escherichia coli	3
GCA_052501365.1	SAMN43307893	Escherichia coli	3
GCA_900023755.1	SAMEA2238785	Streptococcus pneumoniae	3
GCA_937925605.1	SAMEA14082577	uncultured Woeseia sp.	3
GCA_001538245.1	SAMN03992189	Pseudomonas syringae pv. castaneae	4
GCA_022763045.1	SAMN26879084	Simkaniaceae bacterium	2
GCA_042159075.1	SAMN42096965	Escherichia coli O157:H7	2
GCA_045699265.2	SAMN45080231	Klebsiella pneumoniae	2
GCA_056963275.1	SAMN50492066	Roseburia hominis	1
GCA_056639815.1	SAMN54271634	Klebsiella pneumoniae	3
GCA_900022145.1	SAMEA2239212	Streptococcus pneumoniae	3
GCA_016068075.1	SAMN04123813	Aeromonas hydrophila	3
GCA_023148975.1	SAMN19899777	Staphylococcus hominis	2
GCA_032911385.1	SAMN37746240	Stenotrophomonas sp. C3(2023)	3
GCA_055820195.1	SAMN53502822	Providencia stuartii	2
GCA_000343855.1	SAMN02469868	Streptococcus parauberis KRS-02083	2
GCA_045699485.2	SAMN45080233	Klebsiella pneumoniae	2
GCA_900029445.1	SAMEA2238890	Streptococcus pneumoniae	3
GCA_001593665.2	SAMN04157986	Paracidovorax citrulli	3
GCA_009796155.1	SAMN09428084	Clavibacter michiganensis subsp. michiganensis	3
GCA_900034575.1	SAMEA2673804	Neisseria meningitidis	3
GCA_005898525.1	SAMN03265718	Salmonella enterica	2
GCA_009762495.1	SAMN12789774	Escherichia coli	2
GCA_011947785.1	SAMN11658212	Escherichia coli	2
GCA_022522425.1	SAMN25989907	Klebsiella pneumoniae	1
GCA_023479835.1	SAMN20568456	Salmonella enterica subsp. enterica serovar Dublin	3
GCA_034912365.1	SAMN14436938	Streptococcus pyogenes	3
GCA_034912965.1	SAMN14436570	Streptococcus pyogenes	3
GCA_034915385.1	SAMN14436494	Streptococcus pyogenes	3
GCA_034916705.1	SAMN14437400	Streptococcus pyogenes	3
GCA_034917765.1	SAMN14437012	Streptococcus pyogenes	3
GCA_048805465.1	SAMN45061386	Staphylococcus aureus	3
GCA_052551275.1	SAMN51207517	Escherichia coli	2
GCA_016749375.1	SAMN10353853	Klebsiella pneumoniae	3
GCA_020419345.1	SAMN21855373	Burkholderia sp. AU36459	3
GCA_021563795.1	SAMN25221470	Salmonella enterica	2
GCA_023631445.1	SAMN26211592	Caballeronia sp. GAWG1-5s-s	3
GCA_023992295.1	SAMN15099844	Pseudomonas aeruginosa	3
GCA_033206915.1	SAMN03121730	Campylobacter jejuni	2
GCA_034900385.1	SAMN14440445	Streptococcus pyogenes	3
GCA_034901745.1	SAMN14437335	Streptococcus pyogenes	3
GCA_034903445.1	SAMN14437128	Streptococcus pyogenes	3
GCA_034903805.1	SAMN14437146	Streptococcus pyogenes	3
GCA_034906025.1	SAMN14437104	Streptococcus pyogenes	3
GCA_046635055.1	SAMN45032229	Klebsiella pneumoniae	2
GCA_049001535.1	SAMEA117509738	Staphylococcus aureus	3
GCA_052516265.1	SAMN43306829	Escherichia coli	3
GCA_053092105.1	SAMN43325397	Streptococcus pyogenes	3
GCA_900034225.1	SAMEA2674064	Neisseria meningitidis	3
GCA_901219675.1	SAMEA2553903	Streptococcus pneumoniae	3
GCA_901223305.1	SAMEA3353943	Streptococcus pneumoniae	3
GCA_901240845.1	SAMEA2434772	Streptococcus pneumoniae	3
GCA_901242195.1	SAMEA2658431	Streptococcus pneumoniae	3
GCA_901246155.1	SAMEA2814106	Streptococcus pneumoniae	3
GCA_901249745.1	SAMEA3354115	Streptococcus pneumoniae	3
GCA_901252085.1	SAMEA2298255	Streptococcus pneumoniae	3
GCA_901280615.1	SAMEA2696535	Streptococcus pneumoniae	3
GCA_901280985.1	SAMEA2554372	Streptococcus pneumoniae	3
GCA_901281405.1	SAMEA2658386	Streptococcus pneumoniae	3
GCA_901291665.1	SAMEA3714245	Streptococcus pneumoniae	3
GCA_901294645.1	SAMEA4034898	Streptococcus pneumoniae	3
GCA_901298955.1	SAMEA4387919	Streptococcus pneumoniae	3
GCA_901311045.1	SAMEA3431308	Streptococcus pneumoniae	3
GCA_901315895.1	SAMEA4388408	Streptococcus pneumoniae	3
GCA_003678245.1	SAMN09636834	Listeria monocytogenes	3
GCA_005911865.1	SAMN11656380	Salmonella enterica	2
GCA_009558315.1	SAMN07746379	Salmonella enterica subsp. enterica serovar Typhimurium	3
GCA_009792975.1	SAMN11349907	Campylobacter coli	3
GCA_013039185.1	SAMN07682620	Escherichia coli	3
GCA_013185845.1	SAMN14572050	Escherichia coli	2
GCA_015218005.1	SAMN16627952	Salmonella enterica	2
GCA_015323215.1	SAMN16711533	Salmonella enterica	2
GCA_016193785.1	SAMEA5368426	Enterococcus faecium	2
GCA_020180825.1	SAMN21354882	Enterococcus faecalis	2
GCA_020671035.1	SAMN20150198	Salmonella enterica subsp. enterica serovar Agona	2
GCA_022530385.1	SAMN25989676	Klebsiella pneumoniae	1
GCA_022960195.1	SAMN26927491	Salmonella enterica	2
GCA_029021005.1	SAMN33596945	Escherichia coli	2
GCA_034724595.1	SAMN38757039	Klebsiella pneumoniae	3
GCA_037281115.1	SAMN29407336	Neisseria meningitidis	3
GCA_043269965.1	SAMN44234649	Salmonella enterica	1
GCA_043858765.1	SAMN44265455	Salmonella enterica	1
GCA_043859575.1	SAMN44265421	Salmonella enterica	1
GCA_043860895.1	SAMN44265376	Salmonella enterica	1
GCA_047979385.1	SAMN45227906	Pseudomonas aeruginosa	1
GCA_052511685.1	SAMN43306615	Escherichia coli	3
GCA_053726075.1	SAMN52754902	Escherichia coli	3
GCA_056119125.1	SAMN55873788	Klebsiella pneumoniae	3
GCA_901233275.1	SAMEA2658285	Streptococcus pneumoniae	3
GCA_964190255.1	SAMEA115461496	Enterococcus faecium	2
GCA_964190985.1	SAMEA115461305	Enterococcus lactis	2
GCA_040187125.1	SAMN39864904	Pseudomonas aeruginosa	3
GCA_001188835.1	SAMN02988840	Aggregatibacter aphrophilus NJ8700	2
GCA_002567215.1	SAMN07598355	Bacillus cereus	3
GCA_013185095.1	SAMN14542661	Enterobacter hormaechei	3
GCA_001604705.1	SAMN03418023	Proteus mirabilis	3
GCA_000803735.1	SAMN03177465	Mycobacterium tuberculosis	3
GCA_001625105.1	SAMN04426989	Nocardia terpenica	3
GCA_002946475.1	SAMN07540322	Priestia filamentosa	3
GCA_018767565.1	SAMN04460897	Clostridioides difficile	4
GCA_011765715.1	SAMN14409517	Streptomyces sp. 2BBP-J2	3
GCA_014489295.1	SAMN15850497	Mycobacterium tuberculosis variant africanum	3
GCA_019444145.1	SAMN19926846	Xanthomonas perforans	2
GCA_019633635.1	SAMN02850907	Corynebacterium glucuronolyticum DSM 44120	3
GCA_021207915.1	SAMN24102745	Escherichia coli	2
GCA_022518425.1	SAMN25989216	Klebsiella pneumoniae	3
GCA_024362715.1	SAMN29636746	Bacillus altitudinis	2
GCA_022517565.1	SAMN25989785	Citrobacter freundii	1
GCA_022517605.1	SAMN25989724	Klebsiella pneumoniae	3
GCA_026908825.1	SAMEA4699318	Escherichia coli	3
GCA_025192165.1	SAMN15461253	Elizabethkingia anophelis	3
GCA_025192845.1	SAMN15461218	Elizabethkingia anophelis	3
GCA_025192975.1	SAMN15461213	Elizabethkingia anophelis	3
GCA_025195725.1	SAMN15461161	Elizabethkingia anophelis	3
GCA_026778385.1	SAMN31988466	Escherichia coli	3
GCA_028534945.1	SAMEA7997446	Staphylococcus aureus	3
GCA_028535015.1	SAMEA7997442	Staphylococcus aureus	3
GCA_028535495.1	SAMEA7997400	Staphylococcus aureus	3
GCA_028536315.1	SAMEA7997338	Staphylococcus aureus	3
GCA_057611635.1	SAMN50509704	Allocoprococcus comes	1
GCA_035503635.1	SAMEA1932952	Streptococcus pneumoniae	3
GCA_034377905.1	SAMEA26363668	Streptococcus agalactiae	3
GCA_034420795.1	SAMN13291849	Clostridium perfringens	2
GCA_043293645.1	SAMN42529432	Serratia ureilytica	3
GCA_044468485.1	SAMN44011872	Escherichia coli	2
GCA_046764205.1	SAMN45813436	Aeromonas caviae	3
GCA_036226585.1	SAMN30553191	Streptomyces sp. NBC_00708	3
GCA_051033725.1	SAMN23709654	Haemophilus influenzae	2
GCA_051897195.1	SAMN45100529	Yersinia enterocolitica	2
GCA_052504745.1	SAMN43307080	Escherichia coli	3
GCA_000623515.2	SAMN02384211	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083636	2
GCA_001166965.1	SAMEA1031715	Neisseria meningitidis	3
GCA_002097285.1	SAMN06546682	Staphylococcus aureus	2
GCA_002256465.1	SAMN05908747	Methylococcaceae bacterium NSP1-1	3
GCA_003387755.1	SAMN08628119	Paenibacillaceae bacterium	2
GCA_003698345.1	SAMN09951243	Listeria monocytogenes	3
GCA_004606215.1	SAMN07375440	Listeria monocytogenes	2
GCA_008520665.1	SAMN04992805	Salmonella enterica subsp. enterica serovar Enteritidis	3
GCA_009770305.1	SAMN13441456	Enterococcus faecium	3
GCA_015016775.1	SAMN14091716	Listeria monocytogenes	1
GCA_015019295.1	SAMN14091734	Listeria monocytogenes	3
GCA_015452945.1	SAMEA5367916	Enterococcus faecium	2
GCA_015453705.1	SAMEA5367873	Enterococcus faecium	2
GCA_015454405.1	SAMEA5367818	Enterococcus faecium	2
GCA_015454625.1	SAMEA5367910	Enterococcus faecium	2
GCA_015455665.1	SAMEA5368547	Enterococcus faecium	2
GCA_015456945.1	SAMEA5368569	Enterococcus faecium	2
GCA_015458405.1	SAMEA5368604	Enterococcus faecium	2
GCA_015459265.1	SAMEA5368688	Enterococcus faecium	2
GCA_015462485.1	SAMEA5367807	Enterococcus faecium	2
GCA_015462885.1	SAMEA5368177	Enterococcus faecium	2
GCA_015463885.1	SAMEA5368159	Enterococcus faecium	2
GCA_015464045.1	SAMEA5368302	Enterococcus faecium	2
GCA_015465745.1	SAMEA5368678	Enterococcus faecium	2
GCA_015466445.1	SAMEA5368784	Enterococcus faecium	2
GCA_015470445.1	SAMEA5368715	Enterococcus faecium	2
GCA_015620605.1	SAMN07614624	Escherichia coli	2
GCA_017893645.1	SAMN16963726	Escherichia coli	2
GCA_018086885.1	SAMEA5368574	Enterococcus faecium	2
GCA_019350315.1	SAMN14582706	Neisseria meningitidis	3
GCA_019571515.1	SAMN20710322	Salmonella enterica	2
GCA_020527935.1	SAMN20884527	Salmonella enterica subsp. enterica serovar Kentucky	2
GCA_020782385.1	SAMN22794026	Escherichia coli	3
GCA_021147765.1	SAMN18822677	Pseudomonas californiensis	4
GCA_021901035.1	SAMN15888728	Escherichia coli	3
GCA_022519805.1	SAMN25989808	Klebsiella pneumoniae	3
GCA_022527245.1	SAMN25988554	Klebsiella pneumoniae	1
GCA_022527305.1	SAMN25988486	Klebsiella pneumoniae	1
GCA_022527865.1	SAMN25988552	Klebsiella pneumoniae	1
GCA_022529905.1	SAMN25988818	Klebsiella pneumoniae	1
GCA_022533795.1	SAMN25989134	Klebsiella pneumoniae	1
GCA_022534535.1	SAMN25988780	Klebsiella pneumoniae	1
GCA_022535495.1	SAMN25989821	Klebsiella pneumoniae	1
GCA_022535635.1	SAMN25989659	Klebsiella pneumoniae	1
GCA_022886335.1	SAMN27401676	Escherichia coli	2
GCA_022986505.1	SAMN27289181	Escherichia coli O157:H7	2
GCA_023612635.1	SAMN19354726	Vibrio anguillarum	2
GCA_023719325.1	SAMN26029098	Escherichia coli	3
GCA_023719835.1	SAMN26028989	Escherichia coli	3
GCA_023720005.1	SAMN26028982	Escherichia coli	3
GCA_023723275.1	SAMN26029057	Escherichia coli	3
GCA_023724035.1	SAMN26028995	Escherichia coli	3
GCA_023841845.1	SAMN26764499	Salmonella enterica	3
GCA_023909775.1	SAMN11339053	Pseudomonas aeruginosa	3
GCA_023909815.1	SAMN11339051	Pseudomonas aeruginosa	3
GCA_023910735.1	SAMN11339027	Pseudomonas aeruginosa	3
GCA_023910825.1	SAMN11339020	Pseudomonas aeruginosa	3
GCA_023911555.1	SAMN11338985	Pseudomonas aeruginosa	3
GCA_023911935.1	SAMN11338964	Pseudomonas aeruginosa	3
GCA_023912875.1	SAMN11338920	Pseudomonas aeruginosa	3
GCA_025542275.1	SAMN18871301	Clostridium sp.	2
GCA_025941705.1	SAMN31359167	Acinetobacter baumannii	3
GCA_026614635.1	SAMN21366089	Klebsiella pneumoniae	2
GCA_027276155.1	SAMN32247354	Escherichia coli	2
GCA_027539045.1	SAMN06640093	Staphylococcus aureus	3
GCA_027539105.1	SAMN06640098	Staphylococcus aureus	3
GCA_030955965.1	SAMN36935721	Listeria monocytogenes	2
GCA_032389555.1	SAMEA112144232	Escherichia coli	2
GCA_032817185.1	SAMN35758883	Campylobacter jejuni	2
GCA_033090005.1	SAMN11339383	Pseudomonas aeruginosa	3
GCA_033090275.1	SAMN11339373	Pseudomonas aeruginosa	3
GCA_034898745.1	SAMN14440399	Streptococcus pyogenes	3
GCA_034981885.1	SAMN02982633	Streptococcus pyogenes	2
GCA_035029845.1	SAMEA8426096	Streptococcus pyogenes	2
GCA_035029365.1	SAMEA8426121	Streptococcus pyogenes	2
GCA_037284695.1	SAMN29407081	Neisseria meningitidis	3
GCA_037212905.1	SAMN29756923	Neisseria meningitidis	3
GCA_037214025.1	SAMN29756929	Neisseria meningitidis	3
GCA_037253225.1	SAMN29407111	Neisseria meningitidis	3
GCA_037265885.1	SAMN29407062	Neisseria meningitidis	3
GCA_037409575.1	SAMN10275971	Neisseria meningitidis	3
GCA_043268505.1	SAMN44234693	Salmonella enterica	1
GCA_043270005.1	SAMN44234647	Salmonella enterica	1
GCA_043272285.1	SAMN44234583	Salmonella enterica	1
GCA_043279465.1	SAMN44236775	Salmonella enterica	1
GCA_043857415.1	SAMN44265493	Salmonella enterica	1
GCA_044473705.1	SAMN44287470	Staphylococcus aureus	3
GCA_045189465.1	SAMN32815760	Neisseria meningitidis	3
GCA_046554855.1	SAMN41678675	Salmonella sp. ZJJH19_0069	3
GCA_047979025.1	SAMN45227920	Pseudomonas aeruginosa	1
GCA_047984065.1	SAMN45227865	Pseudomonas aeruginosa	1
GCA_049477455.1	SAMN26645613	Haemophilus influenzae	3
GCA_049843815.1	SAMN40121517	Escherichia coli	1
GCA_050285345.1	SAMN47200934	Acinetobacter sp.	2
GCA_052498135.1	SAMN43307872	Escherichia coli	3
GCA_053714995.1	SAMN52754724	Escherichia coli	3
GCA_053715135.1	SAMN52754750	Escherichia coli	3
GCA_054102915.1	SAMN54223337	Escherichia coli	3
GCA_055545665.1	SAMN53842225	Klebsiella pneumoniae	3
GCA_055781795.1	SAMN56443252	Listeria monocytogenes	2
GCA_055816455.1	SAMN53503016	Klebsiella pneumoniae	2
GCA_056785135.1	SAMN56559167	Escherichia coli	3
GCA_056785675.1	SAMN56559139	Escherichia coli	3
GCA_057347175.1	SAMN59157889	Escherichia coli	2
GCA_057349045.1	SAMN58522951	Escherichia coli	2
GCA_057353305.1	SAMN59157951	Escherichia coli	2
GCA_057376585.1	SAMN59518225	Escherichia coli	2
GCA_057379065.1	SAMN59518330	Escherichia coli	2
GCA_900022845.1	SAMEA2238872	Streptococcus pneumoniae	3
GCA_901233995.1	SAMEA2658291	Streptococcus pneumoniae	3
GCA_901244665.1	SAMEA2434794	Streptococcus pneumoniae	3
GCA_901270085.1	SAMEA3431301	Streptococcus pneumoniae	3
GCA_901282575.1	SAMEA2658481	Streptococcus pneumoniae	3
GCA_901293415.1	SAMEA104154669	Streptococcus pneumoniae	3
GCA_901299215.1	SAMEA104154796	Streptococcus pneumoniae	3
GCA_901299705.1	SAMEA104154803	Streptococcus pneumoniae	3
GCA_901309025.1	SAMEA4388038	Streptococcus pneumoniae	3
GCA_934691725.1	SAMEA13519395	uncultured Fibrobacter sp.	2
GCA_964191055.1	SAMEA115461304	Enterococcus lactis	2
GCA_964191225.1	SAMEA114863392	Enterococcus lactis	2
GCA_054161285.1	SAMN27610170	Arthrobacter sp. D2-10	3
GCA_046573865.1	SAMN46052158	Helicobacter pylori	3
GCA_046574345.1	SAMN46052197	Helicobacter pylori	3
GCA_056626875.1	SAMN54742304	Providencia rettgeri	2
GCA_057038565.1	SAMN50509568	Hominicoprocola sp.	1
GCA_057044325.1	SAMN50509414	Parabacteroides distasonis	1
GCA_056468445.1	SAMN56812888	Escherichia coli	2
GCA_900044715.1	SAMEA2674068	Neisseria meningitidis	3
GCA_049491995.1	SAMN12374859	Haemophilus influenzae	3
GCA_049503915.1	SAMN21850714	Haemophilus influenzae	3
GCA_051898255.1	SAMN45100475	Yersinia enterocolitica	2
GCA_052560755.1	SAMN47846116	Haemophilus influenzae	2
GCA_964599845.1	SAMEA117295542	uncultured Candidatus Saccharibacteria bacterium	2
GCA_902652425.1	SAMEA6160300	Veillonella atypica	2
GCA_020421255.1	SAMN21855332	Burkholderia cenocepacia	3
GCA_001513315.1	SAMN03794760	Thermotogaceae bacterium DTU111	2
GCA_001326735.1	SAMEA970273	Streptococcus pneumoniae	3
GCA_001456335.3	SAMN03154693	Xylella fastidiosa	3
GCA_001559895.1	SAMN04296855	Vibrio parahaemolyticus	3
GCA_002761595.1	SAMN07839396	Escherichia coli	3
GCA_003287165.1	SAMN06292065	Mycobacterium tuberculosis	3
GCA_004680305.1	SAMN06308215	Listeria monocytogenes	3
GCA_006370265.1	SAMN11962810	Bacillus cereus	2
GCA_011946145.1	SAMN11656111	Escherichia coli	2
GCA_012007285.1	SAMN12628318	Escherichia coli	2
GCA_012437215.2	SAMN07363397	Escherichia coli	2
GCA_901302885.1	SAMEA3390072	Streptococcus pneumoniae	3
GCA_901330555.1	SAMEA3714507	Streptococcus pneumoniae	3
GCA_051897935.1	SAMN45100499	Yersinia enterocolitica	2
GCA_001512625.1	SAMN03779022	Clostridiales bacterium DTU036	2
GCA_052564495.1	SAMN47845901	Haemophilus influenzae	2
GCA_052565015.1	SAMN47846057	Haemophilus influenzae	2
GCA_964444895.1	SAMEA117295526	uncultured Roseivirgaceae bacterium	2
GCA_964564765.1	SAMEA117295519	uncultured Microthrixaceae bacterium	2
GCA_007361935.1	SAMN12234500	Lachnospiraceae bacterium KGMB03038	2
GCA_000814485.1	SAMN03154069	Lacticaseibacillus rhamnosus	2
GCA_008807995.1	SAMN12794301	Bacillus amyloliquefaciens	3
GCA_011869165.1	SAMN12715335	Escherichia coli O157:H7	2
GCA_011883485.1	SAMN12601535	Escherichia coli	2
GCA_012150415.1	SAMN09651204	Escherichia coli	2
GCA_012919485.1	SAMN14502952	Escherichia coli	2
GCA_000803985.1	SAMN03177483	Mycobacterium tuberculosis	3
GCA_012934475.1	SAMN14609773	Escherichia coli	2
GCA_012934735.1	SAMN14609794	Escherichia coli	2
GCA_002558795.1	SAMN07597282	Bacillus thuringiensis	3
GCA_022427965.1	SAMN26011952	Fredinandcohnia quinoae	3
GCA_001839655.2	SAMN04505866	Phytopseudomonas argentinensis	3
GCA_001915795.1	SAMN05717237	Clostridiales bacterium 42_27	2
GCA_001916135.1	SAMN05717253	Clostridium sp. 44_14	2
GCA_001916705.1	SAMN05717282	Firmicutes bacterium CAG:176_63_11	2
GCA_002206465.2	SAMN06173312	Helicobacter pylori	3
GCA_001676375.1	SAMN05189120	Stenotrophomonas maltophilia	2
GCA_002865925.1	SAMN03490149	Corynebacterium striatum	3
GCA_002946655.1	SAMN08472240	Vibrio cholerae O1 biovar El Tor	3
GCA_003839145.1	SAMN07423969	Pseudomonas aeruginosa	3
GCA_003840605.1	SAMN07423954	Pseudomonas aeruginosa	3
GCA_022536115.1	SAMN25989619	Klebsiella oxytoca	3
GCA_006065115.1	SAMN11864194	Plantibacter sp. M259	3
GCA_040716155.1	SAMN35564752	Klebsiella pneumoniae	3
GCA_008710475.1	SAMN12791479	Streptococcus agalactiae	3
GCA_009736345.1	SAMN09095590	Acinetobacter baumannii	2
GCA_009736655.1	SAMN09095573	Acinetobacter baumannii	2
GCA_015274105.1	SAMN15665259	Staphylococcus warneri	3
GCA_026158085.1	SAMN30260661	Streptococcus mitis	2
GCA_019795235.1	SAMN20858515	Cupriavidus respiraculi	3
GCA_021892905.1	SAMN14372646	Lactiplantibacillus plantarum	3
GCA_022263255.1	SAMN07421131	Klebsiella pneumoniae	2
GCA_022263875.1	SAMN07421116	Klebsiella pneumoniae	2
GCA_023148575.1	SAMN19899791	Pseudomonas sp. EYE_354	2
GCA_023149105.1	SAMN19899772	Pseudomonas fragi	2
GCA_023782745.1	SAMN28613872	Escherichia coli	3
GCA_025447365.1	SAMN30962604	Mycobacterium tuberculosis	3
GCA_025541735.1	SAMN18871330	Clostridia bacterium	2
GCA_025196345.1	SAMN15461133	Elizabethkingia anophelis	3
GCA_027944735.1	SAMN31988481	Escherichia coli	3
GCA_029878965.1	SAMD00500109	Escherichia coli	3
GCA_030371675.1	SAMN34359464	Bacteroides eggerthii	2
GCA_030371705.1	SAMN34359481	Parasutterella secunda	2
GCA_040796845.1	SAMN42394833	Klebsiella pneumoniae	3
GCA_032322295.1	SAMN33372412	Staphylococcus aureus	3
GCA_032322475.1	SAMN33372423	Staphylococcus aureus	3
GCA_032395545.1	SAMEA111551585	Escherichia coli	2
GCA_028652655.1	SAMN32608800	Streptococcus pneumoniae	3
GCA_033744435.1	SAMN31538254	Escherichia coli	2
GCA_034860745.1	SAMN37664729	Enterobacter hormaechei	3
GCA_034893945.1	SAMN14440545	Streptococcus pyogenes	3
GCA_034894065.1	SAMN14440550	Streptococcus pyogenes	3
GCA_034895345.1	SAMN14440288	Streptococcus pyogenes	3
GCA_056055215.1	SAMN23709658	Haemophilus influenzae	2
GCA_035590975.1	SAMEA3713804	Streptococcus pneumoniae	3
GCA_036368545.1	SAMN38380672	Streptococcus pneumoniae	3
GCA_037399485.1	SAMN40355334	Escherichia coli	3
GCA_037031325.1	SAMN38909325	Fusobacterium polymorphum	2
GCA_037031785.1	SAMN38909295	Fusobacterium polymorphum	2
GCA_043351395.1	SAMN40642718	Clostridioides difficile	2
GCA_043860035.1	SAMN44265409	Salmonella enterica	1
GCA_044989485.1	SAMN44656907	Glaesserella parasuis	2
GCA_046571305.1	SAMN46052331	Helicobacter pylori	3
GCA_048860605.1	SAMN45061363	Staphylococcus aureus	3
GCA_042157935.1	SAMN43584879	Salmonella enterica subsp. enterica serovar Braenderup	2
GCA_050285545.1	SAMN47200924	Achromobacter sp.	2
GCA_050974905.1	SAMN44583990	Bordetella pertussis	2
GCA_051302875.1	SAMN49722018	Klebsiella pneumoniae	3
GCA_051862535.1	SAMN36758239	Streptococcus agalactiae	3
GCA_052069935.1	SAMN49097130	Acinetobacter baumannii	2
GCA_052506305.1	SAMN43307013	Escherichia coli	3
GCA_052507085.1	SAMN43306191	Escherichia coli	3
GCA_052518285.1	SAMN43306754	Escherichia coli	3
GCA_055265465.1	SAMN48829898	Staphylococcus aureus	3
GCA_056387435.1	SAMN54874662	Pasteurella multocida	2
GCA_035748445.1	SAMEA10254888	Streptococcus pneumoniae	3
GCA_035753005.1	SAMEA10254672	Streptococcus pneumoniae	3
GCA_035753705.1	SAMEA10254636	Streptococcus pneumoniae	3
GCA_056636865.1	SAMN54271678	Klebsiella pneumoniae	3
GCA_056636975.1	SAMN54271673	Klebsiella pneumoniae	3
GCA_056648265.1	SAMN56813802	Escherichia coli	2
GCA_056651005.1	SAMN56813756	Escherichia coli	2
GCA_056651085.1	SAMN56813753	Escherichia coli	2
GCA_056738175.1	SAMN41787767	Xanthomonas citri pv. mangiferaeindicae	3
GCA_056962795.1	SAMN50492090	Odoribacter splanchnicus	1
GCA_056962935.1	SAMN50492083	Butyribacter sp.	1
GCA_056465485.1	SAMN56810721	Escherichia coli O157:H7	2
GCA_056495965.1	SAMN56813171	Escherichia coli O157:H7	2
GCA_056496665.1	SAMN56813147	Escherichia coli O157:H7	2
GCA_056517385.1	SAMN56810976	Escherichia coli O103:H2	2
GCA_056529065.1	SAMN56813070	Escherichia coli O5:H11	2
GCA_056529985.1	SAMN56812871	Escherichia coli O109:H10	2
GCA_900036625.1	SAMEA2383335	Listeria monocytogenes	3
GCA_025653545.1	SAMN25232833	Shewanella sp. SW1	3
GCA_025907495.1	SAMN31394343	Riemerella anatipestifer	2
GCA_026728805.1	SAMN14112613	Staphylococcus aureus	3
GCA_026776245.1	SAMN31988459	Escherichia coli	3
GCA_029004615.1	SAMN15596449	Escherichia coli	3
GCA_029403935.1	SAMD00467448	Staphylococcus aureus	2
GCA_031714215.1	SAMN36398567	Pasteurella multocida	2
