assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_034980825.1	SAMN02982654	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_052548015.1	SAMN47845987	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052548395.1	SAMN47846141	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561695.1	SAMN47845953	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052564875.1	SAMN47846051	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_007001605.1	SAMN10775315	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | stool | stool
GCA_003202285.1	SAMN05284053	Prauserella muralis	clear	colonization-context audit	absent	absent					colonized			environmental material	culture	wastewater			culture | culture | environmental material | environmental material | wastewater | mold-colonized wall of an indoor environment | pure culture | mold-colonized wall of an indoor environment | pure culture
GCA_022263555.1	SAMN07421150	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_049096295.1	SAMN32691218	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | rectum/perianal region | Rectal carriage
GCA_049059545.1	SAMEA115674880	Staphylococcus aureus	keep	colonization-context audit	Felis catus	Felis catus	Felis catus	9685			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | nasal cavity/sinus/upper respiratory tract | nasal carriage
