count,field,value,recommended_action
1,Isolation_Source_SD,"mixture of 5 samples p4, p32, p49, p64, p79 isolated from the parent mutator strain Pseudomonas fluorescens ATCC 948",route to controlled category or manual_review
1,Isolation_Source_SD,Mutant derived from ATCC 31479,route to controlled category or manual_review
1,Isolation_Source_SD,Clone 2 resistant to the phage variant phiDCL-PA6alpha; parent strain PA14,route to controlled category or manual_review
1,Isolation_Source_SD,Clone 2 resistant to phage phiDCL-PA6; parent strain PA14,route to controlled category or manual_review
1,Isolation_Source_SD,Clone 1 resistant to the phage variant phiDCL-PA6alpha; parent strain PA14,route to controlled category or manual_review
1,Isolation_Source_SD,Clone 1 resistant to phage phiDCL-PA6; parent strain PA14,route to controlled category or manual_review
1,Isolation_Source_SD,colistin resistant; parent strain Ps01LRM,route to controlled category or manual_review
1,Isolation_Source_SD,Derived from strain Pseudomonas aeruginosa MF1,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC collection,route to controlled category or manual_review
1,Isolation_Source_SD,lab mutation of ATCC 17978,route to controlled category or manual_review
1,Isolation_Source_SD,Generated in lab from ATCC 17979,route to controlled category or manual_review
1,Isolation_Source_SD,Nx resistant derivative of parent strain ATCC 19606,route to controlled category or manual_review
1,Isolation_Source_SD,NAg resistant derivative of parent strain ATCC 19606,route to controlled category or manual_review
1,Isolation_Source_SD,Ag+ tolerant derivative of parent strain ATCC 19606,route to controlled category or manual_review
1,Isolation_Source_SD,derived from Enterococcus faecalis ATCC 29212 after infected by phage EF_FB,route to controlled category or manual_review
1,Isolation_Source_SD,derived from Enterococcus faecalis ATCC 29212 after infected by phage EF_CM,route to controlled category or manual_review
1,Isolation_Source_SD,derived from Enterococcus faecalis ATCC 29212 after infected by phage EF_WCK,route to controlled category or manual_review
1,Isolation_Source_SD,derived from Enterococcus faecalis ATCC 29212 after infected by phage EF_KTM,route to controlled category or manual_review
1,Isolation_Source_SD,KatA Tn mutant; parent strain OG1RF,route to controlled category or manual_review
1,Isolation_Source_SD,CydA Tn mutant; parent strain OG1RF,route to controlled category or manual_review
1,Isolation_Source_SD,linezolid-resistant strain isolated from parent strain MA1,route to controlled category or manual_review
