rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_synonyms,added,saffron,,Crocus sativus,,82528
host_synonyms,added,salp sp.,,Salpidae,,34759
host_synonyms,added,salvelinus,,Salvelinus,,8033
host_synonyms,added,sander vitreus and perca sp.,,Percidae,,8165
host_synonyms,added,sangiovese,,Vitis vinifera,,29760
host_synonyms,added,sanqi,,Panax notoginseng,,44586
host_synonyms,added,sarcophagidae,,Sarcophagidae,,7381
host_synonyms,added,sarracenia,,Sarracenia,,4358
host_synonyms,added,saurania reinwardti,,Saurauia reinwardtiana,,2945189
host_synonyms,added,sayornic nigricans,,Sayornis nigricans,,183530
host_synonyms,added,schizaphis graminum biotype i,,Schizaphis graminum,,13262
host_synonyms,added,scomber japonicus peruanus,,Scomber japonicus,,13676
host_synonyms,added,serrasalmidae,,Serrasalmidae,,42495
host_synonyms,added,sesame seedling,,Sesamum indicum,,4182
host_synonyms,added,shore bird,,Charadriiformes,,8906
host_synonyms,added,shorebird,,Charadriiformes,,8906
host_synonyms,added,shorebirds,,Charadriiformes,,8906
host_synonyms,added,siberian jerboa,,Allactaga sibirica,,234626
host_synonyms,added,sika,,Cervus nippon,,9863
host_synonyms,added,sinapsis avensis,,Sinapis arvensis,,2982281
host_synonyms,added,slender horned gazella,,Gazella leptoceros,,69303
host_synonyms,added,small cardamom,,Elettaria cardamomum,,105181
host_synonyms,added,smooth vetch,,Vicia villosa,,3911
host_synonyms,added,south american tapirus terrestris,,Tapirus terrestris,,9801
host_synonyms,added,spaghnum,,Sphagnum,,13804
host_synonyms,added,spheniscidae,,Spheniscidae,,9231
host_synonyms,added,spongia sp.,,Spongia,,121489
host_synonyms,added,spotted hyena,,Crocuta crocuta,,9678
host_synonyms,added,sprouted soy,,Glycine max,,3847
host_synonyms,added,stag,,Cervidae,,9850
host_synonyms,added,steirnernema unicornum,,Steinernema unicornum,,759381
host_synonyms,added,string beans,,Phaseolus vulgaris,,3885
host_synonyms,added,sugar cane yz08 1095,,Saccharum,,4546
host_synonyms,added,sula nebouxi,,Sula nebouxii,,37087
host_synonyms,added,suricat,,Suricata suricatta,,37032
host_synonyms,added,swallow,,Hirundinidae,,43148
host_synonyms,added,tabaco,,Nicotiana tabacum,,4097
host_synonyms,added,thai silk cocoon,,Bombyx mori,,7091
host_synonyms,added,thalictrum simplex l,,Thalictrum simplex,,495765
host_synonyms,added,thamnidium elegans wa0000018081,,Thamnidium elegans,,101142
host_synonyms,added,three lined grunt,,Parapristipoma trilineatum,,360507
host_synonyms,added,tichocarpus crinitus,,Tichocarpus crinitus,,38364
host_synonyms,added,tinamu major,,Tinamus major,,30468
host_synonyms,added,tomate,,Solanum lycopersicum,,4081
host_synonyms,added,trachemys scripta callirostris,,Trachemys scripta,,34903
host_synonyms,added,tryonyx sinensis,,Pelodiscus sinensis,,13735
host_synonyms,added,tubeworm trophosome,,Annelida,,6340
host_synonyms,added,turbinaria peltata,,Turbinaria peltata,,2971088
host_synonyms,added,ursidae,,Ursidae,,9632
host_synonyms,added,ursidae sp.,,Ursidae,,9632
host_synonyms,added,valerianella locusta laterr.,,Valerianella locusta,,59166
host_synonyms,added,verdot sp.,,Vitis vinifera,,29760
host_synonyms,added,vetch,,Vicia,,3904
host_synonyms,added,vibernum davidii,,Viburnum davidii,,237932
host_synonyms,added,vine,,Viridiplantae,,33090
host_synonyms,added,water lettuce,,Pistia stratiotes,,4477
host_synonyms,added,waterlettuce,,Pistia stratiotes,,4477
host_synonyms,added,weaned rex rabbits,,Oryctolagus cuniculus,,9986
host_synonyms,added,weasel,,Mustelidae,,9655
host_synonyms,added,weever,,Trachinidae,,56735
host_synonyms,added,wenyujin,,Curcuma wenyujin,,136221
host_synonyms,added,westrigia fruticosa,,Westringia fruticosa,,664412
host_synonyms,added,wheatgrass,,Triticum,,4564
host_synonyms,added,white breasted nuthatch,,Sitta carolinensis,,50250
host_synonyms,added,white elm,,Ulmus americana,,29740
host_synonyms,added,white faced saki,,Pithecia pithecia,,43777
host_synonyms,added,white pelican,,Pelecanus,,33617
host_synonyms,added,white radish,,Raphanus sativus,,3726
host_synonyms,added,whole panna microdon,,Panna microdon,,588791
host_synonyms,added,wild chukar,,Alectoris chukar,,9078
host_synonyms,added,wild orchid,,Orchidaceae,,4747
host_synonyms,added,wild rabbits,,Oryctolagus cuniculus,,9986
host_synonyms,added,wildpig,,Sus scrofa,,9823
host_synonyms,added,winterberry holly,,Ilex verticillata,,185559
host_synonyms,added,wohrlfartia sp.,,Wohlfahrtia,,128961
host_synonyms,added,wood wren,,Henicorhina,,109453
host_synonyms,added,xestospongia sp. sym12,,Xestospongia,,178550
host_synonyms,added,xestosponiga sp. qyp07,,Xestospongia,,178550
host_synonyms,added,yellow legged gulls,,Larus michahellis,,119627
host_synonyms,added,yellowfin seabream,,Acanthopagrus latus,,8177
host_synonyms,added,ziziphus mauritiana lam,,Ziziphus mauritiana,,157914
host_synonyms,added,zoanthid palythoa caribaeorum,,Palythoa caribaeorum,,134933
host_negative_rules,added,16s52,,not_identifiable,,
host_negative_rules,added,16s67,,not_identifiable,,
host_negative_rules,added,16s90,,not_identifiable,,
host_negative_rules,added,a. swainsoni,,not_identifiable,,
host_negative_rules,added,acanthococcus aceris,,not_identifiable,,
host_negative_rules,added,actinomyces sp. strain f0337,,non_host_source,,
host_negative_rules,added,aellenia lancifolia,,not_identifiable,,
host_negative_rules,added,algea,,not_identifiable,,
host_negative_rules,added,alydus tomentosus,,not_identifiable,,
host_negative_rules,added,amata sperbius,,not_identifiable,,
host_negative_rules,added,amitermes hastatus,,not_identifiable,,
host_negative_rules,added,amphiblestrum auritum,,not_identifiable,,
host_negative_rules,added,amphilectus digitatus,,not_identifiable,,
host_negative_rules,added,amphisylla,,not_identifiable,,
host_negative_rules,added,anoecia oenotherae,,not_identifiable,,
host_negative_rules,added,anoxycalyx joubini,,not_identifiable,,
host_negative_rules,added,antho dichotoma,,not_identifiable,,
host_negative_rules,added,aquatic products,,non_host_source,,
host_negative_rules,added,b. minor,,not_identifiable,,
host_negative_rules,added,basunti mas,,not_identifiable,,
host_negative_rules,added,bath1a,,not_identifiable,,
host_negative_rules,added,bath1b,,not_identifiable,,
host_negative_rules,added,bedding,,non_host_source,,
host_negative_rules,added,biochemistry chemistry study program faculty faculty of mathematics and natural sciences universitas syiah kuala banda aceh indonesia.,,non_host_source,,
host_negative_rules,added,blandfordimys juldaschi carruthersi,,not_identifiable,,
host_negative_rules,added,bombax costatum,,not_identifiable,,
