synonym,canonical,taxid,confidence,rank,superkingdom,lineage,current_note,recommended_action,action_detail
Anaeramoeba ignava BMAN,Anaeramoeba ignava,1746090,medium,species,Eukaryota,cellular organisms;Eukaryota;Metamonada;Anaeramoebidae;Anaeramoeba;Anaeramoeba ignava,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Anaeramoeba ignava`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Anolis marmoratus speciosus,Anolis marmoratus,41898,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Iguania;Dactyloidae;Anolis;Anolis marmoratus,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Anolis marmoratus`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
"Anopheles gambiae G3 strain, lab colony",Anopheles gambiae,7165,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Anophelinae;Anopheles;Cellia;Pyretophorus;gambiae species complex;Anopheles gambiae,Batch 2 host curation 2026-05-05: reviewed mosquito host; lab colony is context; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Bombyx mori larvae,Bombyx mori,7091,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Obtectomera;Bombycoidea;Bombycidae;Bombycinae;Bombyx;Bombyx mori,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Bombyx mori`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Eupsittula pertinax ocularis,Eupsittula pertinax,492513,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Psittaciformes;Psittacidae;Eupsittula;Eupsittula pertinax,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Eupsittula pertinax`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Codium minus (Schmidt) Silva,Codium minus,221048,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;TCBD clade;Bryopsidales;Bryopsidineae;Codiaceae;Codium;Codium minus,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Codium minus`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Ananas comosus (L.) Merr.,Ananas comosus,4615,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Bromeliaceae;Bromelioideae;Ananas;Ananas comosus,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Ananas comosus`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Lemna minor 8744,Lemna minor,4472,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Alismatales;Araceae;Lemnoideae;Lemna;Lemna minor,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Lemna minor`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Gynura pseudochina (L.) DC. var. hispida Thwaites,Gynura pseudochina,2654270,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Asteraceae;Asteroideae;Senecioneae;Senecioninae;Gynura;Gynura pseudochina,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Gynura pseudochina`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Ustilago maydis YZZF202006,Ustilago maydis,5270,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales;Ustilaginales incertae sedis;Mycosarcoma;Mycosarcoma maydis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Ustilago maydis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Pogostemon cablin (Blanco) Benth.,Pogostemon cablin,28511,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Lamiaceae;Lamioideae;Pogostemoneae;Pogostemon;Pogostemon cablin,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Pogostemon cablin`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Scrippsiella trochoidea CCAP 1134/1,Scrippsiella trochoidea,71861,medium,species,Eukaryota,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella trochoidea,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Scrippsiella trochoidea`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Hedysarum zundukii Peschkova,Hedysarum zundukii,2419557,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Hedysareae;Hedysarum;Hedysarum zundukii,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Hedysarum zundukii`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Symbiochlorum hainanensis sp. X1,Symbiochlorum hainanensis,2448249,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;Ignatiales;Ignatiaceae;Symbiochlorum;Symbiochlorum hainanensis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Symbiochlorum hainanensis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Thalassiosira rotula CCMP3264,Thalassiosira rotula,49265,medium,species,Eukaryota,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Thalassiosirophycidae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira rotula,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Thalassiosira rotula`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Hyaloperonospora arabidopsidis Noks1,Hyaloperonospora arabidopsidis,272952,medium,species,Eukaryota,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Hyaloperonospora;Hyaloperonospora arabidopsidis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Hyaloperonospora arabidopsidis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Chiloschista parishii Seidenf.,Chiloschista parishii,339076,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Asparagales;Orchidaceae;Epidendroideae;Vandeae;Aeridinae;Chiloschista;Chiloschista parishii,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Chiloschista parishii`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Azadirachta indica A. Juss. var. siamensis Valenton,Azadirachta indica,124943,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Sapindales;Meliaceae;Azadirachta;Azadirachta indica,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Azadirachta indica`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Zophobas morio larvae,Zophobas morio,2755281,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Neuropteroidea;Coleoptera;Polyphaga;Cucujiformia;Tenebrionoidea;Tenebrionidae;Tenebrioninae;Zophobas;Zophobas morio,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Zophobas morio`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Melanaphis sacchari Zehntner,Melanaphis sacchari,742174,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidomorpha;Aphidoidea;Aphididae;Aphidinae;Aphidini;Melanaphis;Melanaphis sacchari,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Melanaphis sacchari`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Nasonia vitripennis x Nasonia giraulti hybrid,Nasonia vitripennis,7425,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Proctotrupomorpha;Chalcidoidea;Pteromalidae;Pteromalinae;Nasonia;Nasonia vitripennis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Nasonia vitripennis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Panthera tigris Amoyensis facel,Panthera tigris,9694,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Feliformia;Felidae;Pantherinae;Panthera;Panthera tigris,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Panthera tigris`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Pistacia chinensis Bunge,Pistacia chinensis,289741,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Sapindales;Anacardiaceae;Pistacia;Pistacia chinensis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Pistacia chinensis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Apium graveolens L. var. dulce,Apium graveolens,4045,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Apiales;Apiineae;Apiaceae;Apioideae;apioid superclade;Apieae;Apium;Apium graveolens,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Apium graveolens`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Broussonetia kazinoki X Broussonetia papyrifa,Broussonetia kazinoki,66380,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Moraceae;Dorstenieae;Broussonetia;Broussonetia kazinoki,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Broussonetia kazinoki`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Anemarrhena asphodeloides Bunge,Anemarrhena asphodeloides,59045,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Asparagales;Asparagaceae;Agavoideae;Anemarrhena;Anemarrhena asphodeloides,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Anemarrhena asphodeloides`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Zoysia sinica Hance,Zoysia sinica,1043351,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Chloridoideae;Zoysieae;Zoysiinae;Zoysia;Zoysia sinica,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Zoysia sinica`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Terfezia claveryi Chatin,Terfezia claveryi,139407,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Pezizaceae;Terfezia;Terfezia claveryi,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Terfezia claveryi`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Allium tuberosum Rottlerex Spreng.,Allium tuberosum,4683,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Asparagales;Amaryllidaceae;Allioideae;Allieae;Allium;Allium tuberosum,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Allium tuberosum`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Solanum melongena grafted on Solanum sisymbriifolium rootstock,Solanum melongena,4111,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Solanoideae;Solaneae;Solanum;Solanum melongena,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Solanum melongena`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Lolium rigidum AND Anguina funesta,Lolium rigidum,89674,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 2 (Poeae type);Loliodinae;Loliinae;Lolium;Lolium rigidum,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Lolium rigidum`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Veronaeopsis simplex Y34,Veronaeopsis simplex,470088,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Venturiales;Sympoventuriaceae;Veronaeopsis;Veronaeopsis simplex,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Veronaeopsis simplex`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Curcuma wenyujin Y.H. Chen et C. Ling,Curcuma wenyujin,136221,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Zingiberales;Zingiberaceae;Curcuma;Curcuma wenyujin,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Curcuma wenyujin`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Varanus albigularis ionidesi,Varanus albigularis,8558,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Anguimorpha;Paleoanguimorpha;Varanoidea;Varanidae;Varanus;Varanus albigularis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Varanus albigularis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Thyasira tokunagai SYS5,Thyasira tokunagai,3055801,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Thyasiroidea;Thyasiridae;Thyasira;Thyasira tokunagai,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Thyasira tokunagai`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Thyasira tokunagai NYS5,Thyasira tokunagai,3055801,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Lucinida;Thyasiroidea;Thyasiridae;Thyasira;Thyasira tokunagai,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Thyasira tokunagai`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Sphaerophorus globosus (Huds.) Vain.,Sphaerophorus globosus,40600,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Sphaerophoraceae;Sphaerophorus;Sphaerophorus globosus,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Sphaerophorus globosus`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Serinus canaria forma domestica,Serinus canaria,9135,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Fringillidae;Carduelinae;Serinus;Serinus canaria,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Serinus canaria`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Polygonatum cyrtonema Hua,Polygonatum cyrtonema,195526,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;Asparagales;Asparagaceae;Nolinoideae;Polygonatum;Polygonatum cyrtonema,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Polygonatum cyrtonema`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Juniperus excelsa M. Bieb.,Juniperus excelsa,758917,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Acrogymnospermae;Pinopsida;Pinidae;Conifers II;Cupressales;Cupressaceae;Juniperus;Juniperus excelsa,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Juniperus excelsa`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Peperomia dindygulensis Miq.,Peperomia dindygulensis,1972104,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Magnoliidae;Piperales;Piperaceae;Peperomia;Peperomia dindygulensis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Peperomia dindygulensis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Adenophora trachelioides Maxim.,Adenophora trachelioides,226227,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Adenophora;Adenophora trachelioides,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Adenophora trachelioides`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Ipomoea batatas [L.] Lam.,Ipomoea batatas,4120,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Convolvulaceae;Ipomoeeae;Ipomoea;Ipomoea batatas,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Ipomoea batatas`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Eucommia ulmoides Oliver,Eucommia ulmoides,4392,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Garryales;Eucommiaceae;Eucommia;Eucommia ulmoides,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Eucommia ulmoides`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Picea mariana Britton,Picea mariana,3335,medium,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Acrogymnospermae;Pinopsida;Pinidae;Conifers I;Pinales;Pinaceae;Picea;Picea mariana,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Picea mariana`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Porphyra yezoensis Ueda,Porphyra yezoensis,2788,medium,species,Eukaryota,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia yezoensis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Porphyra yezoensis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Ostrea edulis larvae,Ostrea edulis,37623,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Ostreida;Ostreoidea;Ostreidae;Ostrea;Ostrea edulis,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Ostrea edulis`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Mya arenaria oonogai Makiyama,Mya arenaria,6604,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Neoheterodontei;Myida;Myoidea;Myidae;Mya;Mya arenaria,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Mya arenaria`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
Helix aspersa Muller,Helix aspersa,6535,medium,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Eupulmonata;Stylommatophora;Helicina;Helicoidea;Helicidae;Cornu;Cornu;Cornu aspersum,Batch 2 host curation 2026-05-05: Exact TaxonKit match from variant `Helix aspersa`; lineage superkingdom Eukaryota.; rank=species,keep,TaxID lineage is not bacterial/archaeal/viral.
